alias_name,normalized_alias,coach_id,canonical_name,alias_type,notes
Frank Cignetti,frank-cignetti,coach-frank-cignetti-jr,Frank Cignetti Jr,source_spelling_variant,Merged during checkpoint-four identity audit.
Matt LaFluer,matt-lafluer,coach-matt-lafleur,Matt LaFleur,source_spelling_variant,Merged during checkpoint-four identity audit.
Matt LeFleur,matt-lefleur,coach-matt-lafleur,Matt LaFleur,source_spelling_variant,Merged during checkpoint-four identity audit.
Rod Chudzinski,rod-chudzinski,coach-rob-chudzinski,Rob Chudzinski,source_spelling_variant,Merged during checkpoint-four identity audit.
