coach_id,canonical_name,normalized_name
coach-jim-tomsula,Jim Tomsula,jim-tomsula
coach-jim-zorn,Jim Zorn,jim-zorn
coach-jimmy-raye,Jimmy Raye,jimmy-raye
coach-joe-brady,Joe Brady,joe-brady
coach-joe-judge,Joe Judge,joe-judge
coach-joe-lombardi,Joe Lombardi,joe-lombardi
coach-joe-philbin,Joe Philbin,joe-philbin
coach-joe-vitt,Joe Vitt,joe-vitt
coach-john-defilippo,John DeFilippo,john-defilippo
coach-john-fox,John Fox,john-fox
coach-john-harbaugh,John Harbaugh,john-harbaugh
coach-john-mcnulty,John McNulty,john-mcnulty
coach-john-morton,John Morton,john-morton
coach-john-ramsdell,John Ramsdell,john-ramsdell
coach-jon-gruden,Jon Gruden,jon-gruden
coach-jon-kitna,Jon Kitna,jon-kitna
coach-jonathan-gannon,Jonathan Gannon,jonathan-gannon
coach-josh-grizzard,Josh Grizzard,josh-grizzard
coach-josh-mccown,Josh McCown,josh-mccown
coach-josh-mcdaniels,Josh McDaniels,josh-mcdaniels
coach-justin-outten,Justin Outten,justin-outten
coach-karl-dorrell,Karl Dorrell,karl-dorrell
coach-kellen-moore,Kellen Moore,kellen-moore
coach-ken-dorsey,Ken Dorsey,ken-dorsey
coach-ken-whisenhunt,Ken Whisenhunt,ken-whisenhunt
coach-ken-zampese,Ken Zampese,ken-zampese
coach-kerry-joseph,Kerry Joseph,kerry-joseph
coach-kevin-gilbride,Kevin Gilbride,kevin-gilbride
coach-kevin-o-connell,Kevin O'Connell,kevin-o-connell
coach-kevin-patullo,Kevin Patullo,kevin-patullo
coach-kevin-rogers,Kevin Rogers,kevin-rogers
coach-kevin-stefanski,Kevin Stefanski,kevin-stefanski
coach-klay-kubiak,Klay Kubiak,klay-kubiak
coach-klayton-adams,Klayton Adams,klayton-adams
coach-kliff-kingsbury,Kliff Kingsbury,kliff-kingsbury
coach-klint-kubiak,Klint Kubiak,klint-kubiak
coach-kyle-shanahan,Kyle Shanahan,kyle-shanahan
coach-leslie-frazier,Leslie Frazier,leslie-frazier
coach-liam-coen,Liam Coen,liam-coen
coach-lovie-smith,Lovie Smith,lovie-smith
coach-luke-getsy,Luke Getsy,luke-getsy
coach-marc-trestman,Marc Trestman,marc-trestman
coach-marcus-arroyo,Marcus Arroyo,marcus-arroyo
coach-marcus-brady,Marcus Brady,marcus-brady
coach-mark-brunell,Mark Brunell,mark-brunell
coach-mark-helfrich,Mark Helfrich,mark-helfrich
coach-mark-whipple,Mark Whipple,mark-whipple
coach-marty-mornhinweg,Marty Mornhinweg,marty-mornhinweg
coach-marvin-lewis,Marvin Lewis,marvin-lewis
coach-matt-canada,Matt Canada,matt-canada
coach-matt-cavanaugh,Matt Cavanaugh,matt-cavanaugh
coach-matt-eberflus,Matt Eberflus,matt-eberflus
coach-matt-lafleur,Matt LaFleur,matt-lafleur
coach-matt-nagy,Matt Nagy,matt-nagy
coach-matt-patricia,Matt Patricia,matt-patricia
